PC	Delta	Trait
PC1	0.00758339530510021	4EBP1_Hoglund_31727947_1
PC2	-0.00388237408472316	4EBP1_Hoglund_31727947_1
PC3	0.00494536981058429	4EBP1_Hoglund_31727947_1
PC4	0.000696346828751218	4EBP1_Hoglund_31727947_1
PC5	-0.00353040782228274	4EBP1_Hoglund_31727947_1
PC6	0.00246464340254835	4EBP1_Hoglund_31727947_1
PC7	-0.00152816615151052	4EBP1_Hoglund_31727947_1
PC8	-0.00517933827633837	4EBP1_Hoglund_31727947_1
PC9	-0.00483741255001469	4EBP1_Hoglund_31727947_1
PC10	0.00397687587163878	4EBP1_Hoglund_31727947_1
PC11	0.0078958597430767	4EBP1_Hoglund_31727947_1
PC12	0.00606365508863923	4EBP1_Hoglund_31727947_1
PC13	-0.00339956993100437	4EBP1_Hoglund_31727947_1
PC14	-0.00129662091921171	4EBP1_Hoglund_31727947_1
PC15	-0.000846373458119446	4EBP1_Hoglund_31727947_1
PC16	-0.00196000604010215	4EBP1_Hoglund_31727947_1
PC17	-0.00437334066837213	4EBP1_Hoglund_31727947_1
PC18	-0.000535897389295108	4EBP1_Hoglund_31727947_1
PC19	0.0139408084413914	4EBP1_Hoglund_31727947_1
PC20	0.00760096619671521	4EBP1_Hoglund_31727947_1
PC21	-0.00198051489793656	4EBP1_Hoglund_31727947_1
PC22	0.000106545895058371	4EBP1_Hoglund_31727947_1
PC23	-0.00659832868288372	4EBP1_Hoglund_31727947_1
PC24	-0.00364266492856373	4EBP1_Hoglund_31727947_1
PC25	0.00105640960683075	4EBP1_Hoglund_31727947_1
PC26	-0.000205416500039157	4EBP1_Hoglund_31727947_1
PC27	-0.00193894823796593	4EBP1_Hoglund_31727947_1
PC28	0.000593628854283719	4EBP1_Hoglund_31727947_1
PC29	-0.0037533124879351	4EBP1_Hoglund_31727947_1
PC30	-0.00117653161587886	4EBP1_Hoglund_31727947_1
PC31	-0.00363022863182204	4EBP1_Hoglund_31727947_1
PC32	-0.00666217846640571	4EBP1_Hoglund_31727947_1
PC33	-0.0037082488687601	4EBP1_Hoglund_31727947_1
PC34	0.00338783212841819	4EBP1_Hoglund_31727947_1
PC35	0.00341800512816732	4EBP1_Hoglund_31727947_1
PC36	0.00690525922703414	4EBP1_Hoglund_31727947_1
PC37	-0.000793861345606092	4EBP1_Hoglund_31727947_1
PC38	0.0041009803791122	4EBP1_Hoglund_31727947_1
PC39	-6.85846238194166e-05	4EBP1_Hoglund_31727947_1
PC40	0.00738409908307188	4EBP1_Hoglund_31727947_1
PC41	0.000681117071747237	4EBP1_Hoglund_31727947_1
PC42	0.00445736875475217	4EBP1_Hoglund_31727947_1
PC43	-0.00615297052401005	4EBP1_Hoglund_31727947_1
PC44	0.00319357620654589	4EBP1_Hoglund_31727947_1
PC45	0.00234090275542154	4EBP1_Hoglund_31727947_1
PC46	0.00618977637464713	4EBP1_Hoglund_31727947_1
PC47	-0.011250179970022	4EBP1_Hoglund_31727947_1
PC48	0.00130507764921861	4EBP1_Hoglund_31727947_1
PC49	-0.00618217690704595	4EBP1_Hoglund_31727947_1
PC50	-0.00206593087336467	4EBP1_Hoglund_31727947_1
PC51	0.00606381499715979	4EBP1_Hoglund_31727947_1
PC52	0.00399015316509317	4EBP1_Hoglund_31727947_1
PC53	0.00187960236223761	4EBP1_Hoglund_31727947_1
PC54	0.0068078601710685	4EBP1_Hoglund_31727947_1
PC55	-0.00476886717658471	4EBP1_Hoglund_31727947_1
PC56	-0.000633344992010906	4EBP1_Hoglund_31727947_1
PC57	-0.00253982011623314	4EBP1_Hoglund_31727947_1
PC58	-0.00237106527144149	4EBP1_Hoglund_31727947_1
PC59	-0.00622121595686747	4EBP1_Hoglund_31727947_1
PC60	-0.000326803855822317	4EBP1_Hoglund_31727947_1
PC61	-0.0084159639952443	4EBP1_Hoglund_31727947_1
PC62	0.00679108859309806	4EBP1_Hoglund_31727947_1
PC63	-0.00259817898618187	4EBP1_Hoglund_31727947_1
PC64	0.00202833578713337	4EBP1_Hoglund_31727947_1
PC65	0.000438234270358132	4EBP1_Hoglund_31727947_1
PC66	0.00347387283381952	4EBP1_Hoglund_31727947_1
PC67	0.000753396939538073	4EBP1_Hoglund_31727947_1
PC68	-0.00134288260997386	4EBP1_Hoglund_31727947_1
PC69	0.00427397598550007	4EBP1_Hoglund_31727947_1
PC70	-0.000224396206282824	4EBP1_Hoglund_31727947_1
PC71	0.00185061020868841	4EBP1_Hoglund_31727947_1
PC72	-0.00396898130109092	4EBP1_Hoglund_31727947_1
PC73	0.00879912493274479	4EBP1_Hoglund_31727947_1
PC74	0.00151462059361238	4EBP1_Hoglund_31727947_1
PC75	-0.00414872366744878	4EBP1_Hoglund_31727947_1
PC76	-0.000745223489357174	4EBP1_Hoglund_31727947_1
PC77	-0.000167556017317816	4EBP1_Hoglund_31727947_1
PC78	-0.00426263752424669	4EBP1_Hoglund_31727947_1
PC79	-0.00347049640215574	4EBP1_Hoglund_31727947_1
PC80	0.00260345091753256	4EBP1_Hoglund_31727947_1
PC81	-0.000944038621357917	4EBP1_Hoglund_31727947_1
PC82	0.000843110583229642	4EBP1_Hoglund_31727947_1
PC83	-0.00071555774284442	4EBP1_Hoglund_31727947_1
PC84	-7.8754953762546e-05	4EBP1_Hoglund_31727947_1
PC85	-0.00315187351490725	4EBP1_Hoglund_31727947_1
PC86	0.00408628324322797	4EBP1_Hoglund_31727947_1
PC87	0.00046738916696488	4EBP1_Hoglund_31727947_1
PC88	0.000298008360654285	4EBP1_Hoglund_31727947_1
PC89	-0.00397442505697134	4EBP1_Hoglund_31727947_1
PC90	0.00394478248966874	4EBP1_Hoglund_31727947_1
PC91	0.00665839454827368	4EBP1_Hoglund_31727947_1
PC92	0.00168168754445898	4EBP1_Hoglund_31727947_1
PC93	-0.00414028775978967	4EBP1_Hoglund_31727947_1
PC94	0.00181046598815607	4EBP1_Hoglund_31727947_1
PC95	-0.0024688666399878	4EBP1_Hoglund_31727947_1
PC96	-0.00103757005144598	4EBP1_Hoglund_31727947_1
PC97	-0.000616224157442131	4EBP1_Hoglund_31727947_1
PC98	-0.000327533283289156	4EBP1_Hoglund_31727947_1
PC99	0.00365867230126156	4EBP1_Hoglund_31727947_1
PC100	-0.00239274271944806	4EBP1_Hoglund_31727947_1
PC101	-0.00459672335846733	4EBP1_Hoglund_31727947_1
PC102	-0.000450343516851163	4EBP1_Hoglund_31727947_1
PC103	-0.00322449091609247	4EBP1_Hoglund_31727947_1
PC104	-0.0034639974503831	4EBP1_Hoglund_31727947_1
PC105	-1.46412346891131e-06	4EBP1_Hoglund_31727947_1
PC1	0.00445687910805935	ADA_Hoglund_31727947_1
PC2	-0.00613308306998472	ADA_Hoglund_31727947_1
PC3	-0.00110078199762973	ADA_Hoglund_31727947_1
PC4	-0.00719610225494918	ADA_Hoglund_31727947_1
PC5	0.00824933834357487	ADA_Hoglund_31727947_1
PC6	0.00299363803175238	ADA_Hoglund_31727947_1
