PC	Delta	Trait
PC1	-0.00753443135651034	4EBP1_Hoglund_31727947_1
PC2	0.00475064203001288	4EBP1_Hoglund_31727947_1
PC3	0.0110994683461573	4EBP1_Hoglund_31727947_1
PC4	0.00400818607030434	4EBP1_Hoglund_31727947_1
PC5	-0.00970712664220799	4EBP1_Hoglund_31727947_1
PC6	-0.00930758250301333	4EBP1_Hoglund_31727947_1
PC7	0.0072177774336916	4EBP1_Hoglund_31727947_1
PC8	0.0251461117540543	4EBP1_Hoglund_31727947_1
PC9	0.00789297707872196	4EBP1_Hoglund_31727947_1
PC10	0.0089301192082325	4EBP1_Hoglund_31727947_1
PC11	0.0026989006499336	4EBP1_Hoglund_31727947_1
PC12	-0.00504969810253506	4EBP1_Hoglund_31727947_1
PC13	0.000905504367225239	4EBP1_Hoglund_31727947_1
PC14	-0.000103021099236516	4EBP1_Hoglund_31727947_1
PC15	-0.000848483754165175	4EBP1_Hoglund_31727947_1
PC16	-0.0104161400119938	4EBP1_Hoglund_31727947_1
PC17	-0.00181029169826536	4EBP1_Hoglund_31727947_1
PC18	-0.00264926587175934	4EBP1_Hoglund_31727947_1
PC19	-0.0101170219382903	4EBP1_Hoglund_31727947_1
PC20	0.00513018295206878	4EBP1_Hoglund_31727947_1
PC21	0.00250662924869157	4EBP1_Hoglund_31727947_1
PC22	-0.0076462071283682	4EBP1_Hoglund_31727947_1
PC23	0.00717403554746527	4EBP1_Hoglund_31727947_1
PC24	0.000120451098031936	4EBP1_Hoglund_31727947_1
PC25	-0.00289258965392977	4EBP1_Hoglund_31727947_1
PC26	-0.00454773287438223	4EBP1_Hoglund_31727947_1
PC27	0.00836011431547449	4EBP1_Hoglund_31727947_1
PC28	0.00811150924009482	4EBP1_Hoglund_31727947_1
PC29	-0.00263474113355598	4EBP1_Hoglund_31727947_1
PC30	-0.000871174708995849	4EBP1_Hoglund_31727947_1
PC31	0.0094303309410432	4EBP1_Hoglund_31727947_1
PC32	-0.00639620647972472	4EBP1_Hoglund_31727947_1
PC33	0.000381664753353232	4EBP1_Hoglund_31727947_1
PC34	-0.0050079097564534	4EBP1_Hoglund_31727947_1
PC35	0.00525616658444342	4EBP1_Hoglund_31727947_1
PC36	-0.00973320952933253	4EBP1_Hoglund_31727947_1
PC37	-0.000145711605898423	4EBP1_Hoglund_31727947_1
PC38	0.00713067374017813	4EBP1_Hoglund_31727947_1
PC39	0.00680166121303325	4EBP1_Hoglund_31727947_1
PC40	0.00583544148936384	4EBP1_Hoglund_31727947_1
PC41	2.18061771955636e-05	4EBP1_Hoglund_31727947_1
PC1	-0.00669944385715504	ADA_Hoglund_31727947_1
PC2	0.0145480616064622	ADA_Hoglund_31727947_1
PC3	0.0145691471265202	ADA_Hoglund_31727947_1
PC4	0.00405409775337537	ADA_Hoglund_31727947_1
PC5	-0.0103471854456319	ADA_Hoglund_31727947_1
PC6	-0.0250308241260744	ADA_Hoglund_31727947_1
PC7	0.00579752943147561	ADA_Hoglund_31727947_1
PC8	0.0130126404163774	ADA_Hoglund_31727947_1
PC9	0.0040239830490131	ADA_Hoglund_31727947_1
PC10	-0.00228599572939852	ADA_Hoglund_31727947_1
PC11	0.00201390630865198	ADA_Hoglund_31727947_1
PC12	0.00106075121051786	ADA_Hoglund_31727947_1
PC13	0.000323294265919511	ADA_Hoglund_31727947_1
PC14	0.000357036185264529	ADA_Hoglund_31727947_1
PC15	-0.00763234410100336	ADA_Hoglund_31727947_1
PC16	-0.00573583629223974	ADA_Hoglund_31727947_1
PC17	-0.000667243239008311	ADA_Hoglund_31727947_1
