PC	Delta	Trait
PC1	0.0075444036279417	11071_1_IL5_IL_5
PC2	-0.00443716706776188	11071_1_IL5_IL_5
PC3	-0.00513092212519299	11071_1_IL5_IL_5
PC4	0.00178828989253807	11071_1_IL5_IL_5
PC5	-0.000722051883790421	11071_1_IL5_IL_5
PC6	4.70074733352033e-05	11071_1_IL5_IL_5
PC7	9.12906446389315e-05	11071_1_IL5_IL_5
PC8	0.000384286065172285	11071_1_IL5_IL_5
PC9	0.000961615817262947	11071_1_IL5_IL_5
PC10	-0.00201182074459129	11071_1_IL5_IL_5
PC11	-0.00160884935202166	11071_1_IL5_IL_5
PC12	-0.00473560941906579	11071_1_IL5_IL_5
PC13	0.000508331567838334	11071_1_IL5_IL_5
PC14	-0.00332021799390428	11071_1_IL5_IL_5
PC15	-0.000661180285479041	11071_1_IL5_IL_5
PC16	-7.74801875264223e-05	11071_1_IL5_IL_5
PC17	0.00335428406419452	11071_1_IL5_IL_5
PC18	-0.000325317755005052	11071_1_IL5_IL_5
PC19	0.000993321540280785	11071_1_IL5_IL_5
PC20	0.00278171192794802	11071_1_IL5_IL_5
PC21	0.00108557088253218	11071_1_IL5_IL_5
PC22	0.000296925467353186	11071_1_IL5_IL_5
PC23	-0.00212670402981625	11071_1_IL5_IL_5
PC24	0.00231165607772102	11071_1_IL5_IL_5
PC25	0.00015247135117004	11071_1_IL5_IL_5
PC26	0.000362441954742948	11071_1_IL5_IL_5
PC27	-0.000224187751506323	11071_1_IL5_IL_5
PC28	0.000296712945320737	11071_1_IL5_IL_5
PC29	0.00203816351941961	11071_1_IL5_IL_5
PC30	-0.000509436837347109	11071_1_IL5_IL_5
PC31	0.0010481952894808	11071_1_IL5_IL_5
PC32	0.000504269809529885	11071_1_IL5_IL_5
PC33	-0.000637799165477798	11071_1_IL5_IL_5
PC34	0.000716088940734539	11071_1_IL5_IL_5
PC35	0.000450794992044918	11071_1_IL5_IL_5
PC36	0.000147065944828013	11071_1_IL5_IL_5
PC37	-0.0014076951329533	11071_1_IL5_IL_5
PC38	-0.000305313104228551	11071_1_IL5_IL_5
