PC	Delta	Trait
PC1	-0.00150050265253618	13748_4_CCL8_MCP_2
PC2	-0.00838550850130708	13748_4_CCL8_MCP_2
PC3	0.00137140681677488	13748_4_CCL8_MCP_2
PC4	-0.0149328248900142	13748_4_CCL8_MCP_2
PC5	0.0225667751650931	13748_4_CCL8_MCP_2
PC6	-0.00143807704317647	13748_4_CCL8_MCP_2
PC7	0.0164383413222326	13748_4_CCL8_MCP_2
PC8	-0.00190197266709307	13748_4_CCL8_MCP_2
PC9	0.00305033111363221	13748_4_CCL8_MCP_2
PC10	-0.00242651164080223	13748_4_CCL8_MCP_2
PC11	0.00275071243600123	13748_4_CCL8_MCP_2
PC12	-0.00219430966203983	13748_4_CCL8_MCP_2
PC13	0.00123789281196895	13748_4_CCL8_MCP_2
PC14	0.0014380656252753	13748_4_CCL8_MCP_2
PC15	-0.000153623298238182	13748_4_CCL8_MCP_2
PC16	-0.00379551244300671	13748_4_CCL8_MCP_2
PC17	0.004062062114156	13748_4_CCL8_MCP_2
PC18	-0.000118323660199065	13748_4_CCL8_MCP_2
PC19	-0.00189316241401402	13748_4_CCL8_MCP_2
PC20	-0.00121944041100215	13748_4_CCL8_MCP_2
PC21	-0.0027183980170605	13748_4_CCL8_MCP_2
PC22	0.000943694551264443	13748_4_CCL8_MCP_2
PC23	-0.000230898353556092	13748_4_CCL8_MCP_2
PC24	0.00310111052760866	13748_4_CCL8_MCP_2
PC25	-0.00433728511553987	13748_4_CCL8_MCP_2
PC26	0.00675474992391783	13748_4_CCL8_MCP_2
PC27	-0.00216517201999406	13748_4_CCL8_MCP_2
PC28	7.4805853478311e-05	13748_4_CCL8_MCP_2
PC29	-0.000154617627867471	13748_4_CCL8_MCP_2
PC30	-0.000346507522582154	13748_4_CCL8_MCP_2
PC31	0.000364502268962299	13748_4_CCL8_MCP_2
PC32	-0.000999444567792151	13748_4_CCL8_MCP_2
PC33	-0.00234501922551517	13748_4_CCL8_MCP_2
PC34	0.000230398081438052	13748_4_CCL8_MCP_2
PC35	0.00113770595094298	13748_4_CCL8_MCP_2
PC36	0.000335636647967288	13748_4_CCL8_MCP_2
PC37	0.000805814421822329	13748_4_CCL8_MCP_2
PC38	-0.000464690263795778	13748_4_CCL8_MCP_2
PC39	0.000570128779994962	13748_4_CCL8_MCP_2
PC40	0.000154657222709275	13748_4_CCL8_MCP_2
PC41	4.22555056792356e-16	13748_4_CCL8_MCP_2
PC1	-0.0017540419117818	15617_8_XCL2_lymphotactin_beta
PC2	-0.00232789050099685	15617_8_XCL2_lymphotactin_beta
PC3	-0.00272530425337597	15617_8_XCL2_lymphotactin_beta
PC4	-0.00441131316183026	15617_8_XCL2_lymphotactin_beta
PC5	0.00475497472076954	15617_8_XCL2_lymphotactin_beta
PC6	0.00316222274195784	15617_8_XCL2_lymphotactin_beta
PC7	-0.00506445353517373	15617_8_XCL2_lymphotactin_beta
PC8	-0.000920552607835601	15617_8_XCL2_lymphotactin_beta
PC9	0.00190180624399362	15617_8_XCL2_lymphotactin_beta
PC10	-5.43019492688199e-06	15617_8_XCL2_lymphotactin_beta
PC11	-0.00175435806047126	15617_8_XCL2_lymphotactin_beta
PC12	-0.000913174410627071	15617_8_XCL2_lymphotactin_beta
PC13	-0.00107820174615366	15617_8_XCL2_lymphotactin_beta
PC14	0.00102927833073426	15617_8_XCL2_lymphotactin_beta
PC15	0.0010705879113298	15617_8_XCL2_lymphotactin_beta
PC16	-0.00394220438669943	15617_8_XCL2_lymphotactin_beta
PC17	-0.000290984831891658	15617_8_XCL2_lymphotactin_beta
PC18	0.000903754793745191	15617_8_XCL2_lymphotactin_beta
PC19	-0.000548902777287247	15617_8_XCL2_lymphotactin_beta
PC20	-0.000561464296889844	15617_8_XCL2_lymphotactin_beta
PC21	-0.0032138181117127	15617_8_XCL2_lymphotactin_beta
PC22	0.00138193412258764	15617_8_XCL2_lymphotactin_beta
PC23	0.00324126859792253	15617_8_XCL2_lymphotactin_beta
PC24	0.00493348622461814	15617_8_XCL2_lymphotactin_beta
PC25	-0.00329005505195887	15617_8_XCL2_lymphotactin_beta
PC26	0.00328318314964141	15617_8_XCL2_lymphotactin_beta
PC27	-0.00358232710712356	15617_8_XCL2_lymphotactin_beta
PC28	0.00143861307724281	15617_8_XCL2_lymphotactin_beta
PC29	-0.00176180271886253	15617_8_XCL2_lymphotactin_beta
PC30	-0.00278700142066185	15617_8_XCL2_lymphotactin_beta
PC31	0.0039843958812999	15617_8_XCL2_lymphotactin_beta
PC32	-0.00142283142382016	15617_8_XCL2_lymphotactin_beta
PC33	-0.00124573952385012	15617_8_XCL2_lymphotactin_beta
PC34	0.00294307877495689	15617_8_XCL2_lymphotactin_beta
PC35	0.0012295909706896	15617_8_XCL2_lymphotactin_beta
PC36	-0.00120419112925827	15617_8_XCL2_lymphotactin_beta
PC37	-0.000120122375987532	15617_8_XCL2_lymphotactin_beta
PC38	-0.000696276624839185	15617_8_XCL2_lymphotactin_beta
PC39	0.000226911903511973	15617_8_XCL2_lymphotactin_beta
PC40	0.000530064049659615	15617_8_XCL2_lymphotactin_beta
PC41	6.21245372671623e-17	15617_8_XCL2_lymphotactin_beta
PC1	0.00645759937568448	18289_16_CCL15_MIP_5
PC2	-0.0222310092905384	18289_16_CCL15_MIP_5
PC3	0.0196036848226375	18289_16_CCL15_MIP_5
PC4	-0.0123500948683017	18289_16_CCL15_MIP_5
PC5	-0.0142693768973312	18289_16_CCL15_MIP_5
PC6	0.00230925721208163	18289_16_CCL15_MIP_5
PC7	-0.00353051686053884	18289_16_CCL15_MIP_5
PC8	-0.00160116687426224	18289_16_CCL15_MIP_5
PC9	0.000522376423734122	18289_16_CCL15_MIP_5
PC10	-0.00155556371877286	18289_16_CCL15_MIP_5
PC11	0.00462550735348509	18289_16_CCL15_MIP_5
PC12	0.00188463785731446	18289_16_CCL15_MIP_5
PC13	-0.00098757616161115	18289_16_CCL15_MIP_5
PC14	-0.00420548706797099	18289_16_CCL15_MIP_5
PC15	0.00254625741815996	18289_16_CCL15_MIP_5
PC16	0.00140019588207929	18289_16_CCL15_MIP_5
PC17	0.00402066683437984	18289_16_CCL15_MIP_5
PC18	0.00194232843083806	18289_16_CCL15_MIP_5
PC19	-0.00442333885991521	18289_16_CCL15_MIP_5
PC20	-0.00331527927731313	18289_16_CCL15_MIP_5
PC21	-0.00361992885791723	18289_16_CCL15_MIP_5
PC22	-0.000320759892573098	18289_16_CCL15_MIP_5
PC23	-0.00015848726071889	18289_16_CCL15_MIP_5
PC24	0.00727821515081601	18289_16_CCL15_MIP_5
PC25	-0.00345808336300432	18289_16_CCL15_MIP_5
