PC	Delta	Var.Delta	z	P	Trait
PC1	-0.00826015786110231	3.25183766731986e-05	-1.44851807423346	0.147472214879933	4EBP1_Hoglund_31727947_1
PC2	0.00475622361083008	3.82106132370199e-05	0.769432029046105	0.441636880762424	4EBP1_Hoglund_31727947_1
PC3	0.0095260204812929	4.34410232413985e-05	1.44531159804486	0.148370381589882	4EBP1_Hoglund_31727947_1
PC4	0.00431301612139406	3.53587776072695e-05	0.725324688552589	0.468252863189006	4EBP1_Hoglund_31727947_1
PC5	-0.00926829104999044	4.86519652717949e-05	-1.32876894436705	0.183924210939843	4EBP1_Hoglund_31727947_1
PC6	-0.00920377642192403	7.31071910082212e-05	-1.07643054171461	0.28173474926729	4EBP1_Hoglund_31727947_1
PC7	0.00692105643032262	3.76607571905127e-05	1.12778903155996	0.259409026700532	4EBP1_Hoglund_31727947_1
PC8	0.0245342775259878	6.80884908918047e-05	2.97328417445463	0.0029463153094206	4EBP1_Hoglund_31727947_1
PC9	0.00857189831282378	3.41248653309847e-05	1.46737642487331	0.142273684035568	4EBP1_Hoglund_31727947_1
PC10	0.00836438080395558	3.35749887874469e-05	1.44353014797172	0.148871186147936	4EBP1_Hoglund_31727947_1
PC11	0.00235591462323014	2.16731171416463e-05	0.506056326619742	0.612817108447159	4EBP1_Hoglund_31727947_1
PC12	-0.00410649664980353	4.22086921105784e-05	-0.63207778262267	0.527336052134601	4EBP1_Hoglund_31727947_1
PC13	0.00139352790687844	2.81218734154853e-05	0.262780748799143	0.792719574444579	4EBP1_Hoglund_31727947_1
PC14	0.000290691338127763	2.79723558692395e-05	0.0549626379539865	0.956168229370152	4EBP1_Hoglund_31727947_1
PC15	-0.0013369886454916	2.53706417392672e-05	-0.265437325400328	0.790672585544892	4EBP1_Hoglund_31727947_1
PC16	-0.010037577587965	3.3183444316823e-05	-1.7424815334389	0.0814242200099366	4EBP1_Hoglund_31727947_1
PC17	-0.00198409305661233	3.45470177998423e-05	-0.337564490418425	0.735691405446908	4EBP1_Hoglund_31727947_1
PC18	-0.00222679542155541	2.5926777917425e-05	-0.437326753218515	0.661874395956001	4EBP1_Hoglund_31727947_1
PC19	-0.0105844396505149	1.86963535496696e-05	-2.44787600389395	0.0143701099736391	4EBP1_Hoglund_31727947_1
