PC	Delta	Var.Delta	z	P	Trait
PC1	4.48256260860021e-06	5.78308518846108e-07	0.00589449453303853	0.995296901053281	13748_4_CCL8_MCP_2
PC2	-0.00769915224854234	4.40702181206467e-07	-11.597658265544	4.23508518349402e-31	13748_4_CCL8_MCP_2
PC3	0.000864575961269767	6.02998695484039e-07	1.1133839845441	0.265543550344966	13748_4_CCL8_MCP_2
PC4	-0.0140283299614319	4.07482478686332e-07	-21.9761445365387	4.87115820556936e-107	13748_4_CCL8_MCP_2
PC5	0.0217746929550133	5.04594984770438e-07	30.6535356929491	2.37097942780463e-206	13748_4_CCL8_MCP_2
PC6	-0.00090387735475622	8.57111100003069e-07	-0.976317212998462	0.328907292560773	13748_4_CCL8_MCP_2
PC7	0.016811212221669	3.35643018889927e-07	29.0175152482155	3.95615074850866e-185	13748_4_CCL8_MCP_2
PC8	-0.00155938108845774	2.57422423234799e-07	-3.07347069012812	0.00211584470978461	13748_4_CCL8_MCP_2
PC9	0.00245181116254081	3.60435159843849e-07	4.08388442952276	4.42890638228787e-05	13748_4_CCL8_MCP_2
PC10	-0.00170535857638526	4.1869556597138e-07	-2.63552128976637	0.00840081556220936	13748_4_CCL8_MCP_2
PC11	0.00296465405703336	2.17272449847272e-07	6.36021347449194	2.01473546688201e-10	13748_4_CCL8_MCP_2
PC12	-0.00167991508007865	3.40529867669822e-07	-2.87878826599942	0.00399206255596864	13748_4_CCL8_MCP_2
PC13	0.00137687877715226	2.86444995427633e-07	2.57261671123943	0.0100932918250838	13748_4_CCL8_MCP_2
PC14	0.00126203758948731	4.00888330476129e-07	1.99324454041451	0.0462346760334217	13748_4_CCL8_MCP_2
PC15	-0.000151668377078125	4.50052473164151e-07	-0.226080686541212	0.821138665638075	13748_4_CCL8_MCP_2
PC16	-0.00331355761052396	3.26441654542347e-07	-5.79951586187725	6.65066477833594e-09	13748_4_CCL8_MCP_2
PC17	0.00384196878551325	2.90339469819559e-07	7.13018490365449	1.00234184192507e-12	13748_4_CCL8_MCP_2
PC18	-0.000331509304193538	3.27079268745864e-07	-0.579654501441428	0.562147631507565	13748_4_CCL8_MCP_2
PC19	-0.00186968747685799	2.77793993265773e-07	-3.5473790247822	0.000389084394096445	13748_4_CCL8_MCP_2
PC20	-0.00104884291346114	1.96377853426666e-07	-2.36681435123351	0.0179419302547058	13748_4_CCL8_MCP_2
PC21	-0.00260303401945122	4.21486719698931e-07	-4.0094785677722	6.08529757187271e-05	13748_4_CCL8_MCP_2
PC22	0.00109116868366186	2.72662171209423e-07	2.0896783775603	0.0366467006125066	13748_4_CCL8_MCP_2
PC23	-0.000285261237993594	6.22355572556199e-07	-0.36159587821954	0.717654045245258	13748_4_CCL8_MCP_2
PC24	0.00279398703560138	2.780173265453e-07	5.29893332836726	1.16481154340654e-07	13748_4_CCL8_MCP_2
PC25	-0.00403535367139053	3.22359147043261e-07	-7.10741385756907	1.18237486469523e-12	13748_4_CCL8_MCP_2
PC26	0.00641696061683581	3.76456960806602e-07	10.4585555622064	1.33881001025306e-25	13748_4_CCL8_MCP_2
PC27	-0.00194488493942057	2.91826864966746e-07	-3.60023855516777	0.000317925360907625	13748_4_CCL8_MCP_2
PC28	0.000120445648699042	3.09817423726473e-07	0.216390502721458	0.828683368640701	13748_4_CCL8_MCP_2
PC29	-5.03532473577592e-05	2.3506113092816e-07	-0.103857310879501	0.917282584821381	13748_4_CCL8_MCP_2
PC30	-0.000487770238341017	2.17014559687516e-07	-1.04705829567019	0.295072692305445	13748_4_CCL8_MCP_2
PC31	0.000277480037756669	4.09156495162106e-07	0.433797475237822	0.664435515183335	13748_4_CCL8_MCP_2
PC32	-0.00096886584645802	3.00026080182485e-07	-1.76882204733926	0.0769235762511472	13748_4_CCL8_MCP_2
PC33	-0.00230654844425238	2.35452830924225e-07	-4.75346852143157	1.99956248857976e-06	13748_4_CCL8_MCP_2
PC34	0.000172265957062987	2.28632270848237e-07	0.360272154193862	0.718643620857559	13748_4_CCL8_MCP_2
PC35	0.00115264416731783	2.42132291257293e-07	2.34244229541002	0.0191579962612038	13748_4_CCL8_MCP_2
PC36	0.000394002591949637	1.72442269752068e-07	0.948805543759225	0.342719521802815	13748_4_CCL8_MCP_2
PC37	0.000762433530047181	2.81491756197521e-07	1.43704096003114	0.150706355362229	13748_4_CCL8_MCP_2
PC38	-0.000439371984182988	3.00051469475234e-07	-0.802111018805021	0.422488741647092	13748_4_CCL8_MCP_2
PC39	0.000471636774499667	2.14166855623502e-07	1.01913456259158	0.30813908763123	13748_4_CCL8_MCP_2
PC40	0.000203104835785592	2.93214388122142e-07	0.375083210830612	0.707598582877685	13748_4_CCL8_MCP_2
PC1	-0.00116940272958956	6.10702041340908e-07	-1.49640591903891	0.134547908039898	15617_8_XCL2_lymphotactin_beta
PC2	-0.0020156810979941	4.40060467096453e-07	-3.03854481131017	0.00237723746605728	15617_8_XCL2_lymphotactin_beta
PC3	-0.00233742885635996	6.19928377182286e-07	-2.9687090947061	0.00299053562805244	15617_8_XCL2_lymphotactin_beta
PC4	-0.0035267206672469	3.9596958772677e-07	-5.60454224639203	2.08806058650894e-08	15617_8_XCL2_lymphotactin_beta
PC5	0.00424943767287081	5.23823968392997e-07	5.87136095709733	4.32232022908938e-09	15617_8_XCL2_lymphotactin_beta
PC6	0.00369573940310168	7.91347857791096e-07	4.15448910887055	3.26015144545348e-05	15617_8_XCL2_lymphotactin_beta
PC7	-0.00434607168616366	3.66376136458298e-07	-7.18014634720873	6.96368367802619e-13	15617_8_XCL2_lymphotactin_beta
PC8	-0.000533322247070481	2.74912924159533e-07	-1.01716667147031	0.309074147974355	15617_8_XCL2_lymphotactin_beta
PC9	0.00119506896744063	3.60605921213274e-07	1.99010752712504	0.0465790918155965	15617_8_XCL2_lymphotactin_beta
PC10	0.000568471084077961	4.35971708189829e-07	0.860952566694904	0.389264168077367	15617_8_XCL2_lymphotactin_beta
PC11	-0.00124601889764683	2.25584578745159e-07	-2.62343268688209	0.00870486442425571	15617_8_XCL2_lymphotactin_beta
PC12	-0.000468422720200151	3.49389443910189e-07	-0.792470422603446	0.428086431258186	15617_8_XCL2_lymphotactin_beta
PC13	-0.000910143493796557	2.88578055443227e-07	-1.6942528214431	0.0902172514041587	15617_8_XCL2_lymphotactin_beta
