Trait	nSNP
4EBP1_Hoglund_31727947_1	665263
ADA_Hoglund_31727947_1	665263
ADM_Folkersen_33067605_1	671355
AGRP_Folkersen_33067605_1	671350
AST_Demenais_29273806_1	211585
AXIN1_Hoglund_31727947_1	664994
bNGF_AholaOlli_27989323_1	627699
bNGF_Folkersen_33067605_1	668554
bNGF_Hoglund_31727947_1	664635
CA125_Folkersen_33067605_1	661293
CASP8_Folkersen_33067605_1	670689
CASP8_Hoglund_31727947_1	665263
CASP8_Hoglund_31727947_2	665498
CCL19_Hoglund_31727947_1	665263
CCL20_Folkersen_33067605_1	670715
CCL20_Hoglund_31727947_1	665263
CCL20_Hoglund_31727947_2	666292
CCL23_Hoglund_31727947_1	665263
CCL25_Hoglund_31727947_1	665263
CCL28_Hoglund_31727947_1	662263
CD_DeLange_28067908_1	635256
CD244_Hoglund_31727947_1	665263
CD40_Folkersen_33067605_1	670702
CD40_Hoglund_31727947_1	665263
CD40_Hoglund_31727947_2	666292
CD40L_Folkersen_33067605_1	671354
CD5_Hoglund_31727947_1	665263
CD6_Hoglund_31727947_1	665263
CDCP1_Hoglund_31727947_1	665263
CEL_Dubois_20190752_1	53223
CHI3L1_Folkersen_33067605_1	671381
CST5_Hoglund_31727947_1	662846
CSTB_Folkersen_33067605_1	671361
CTACK_AholaOlli_27989323_1	628375
CTSD_Folkersen_33067605_1	671337
CTSL1_Folkersen_33067605_1	671350
CX3CL1_Folkersen_33067605_1	670715
CX3CL1_Hoglund_31727947_1	665263
CX3CL1_Hoglund_31727947_2	666292
CXCL5_Hoglund_31727947_1	665263
CXCL5_Hoglund_31727947_2	666335
CXCL6_Folkersen_33067605_1	670714
CXCL6_Hoglund_31727947_1	665263
CXCL6_Hoglund_31727947_2	666292
DKK1_Folkersen_33067605_1	671350
DNER_Hoglund_31727947_1	665263
ECP_Folkersen_33067605_1	654201
EGF_Folkersen_33067605_1	661843
EGPA_Lyons_31719529_1	637903
EGPAANCAn_Lyons_31719529_1	637903
EGPAMPO_Lyons_31719529_1	637903
ENRAGE_Folkersen_33067605_1	670705
ENRAGE_Hoglund_31727947_1	665263
ENRAGE_Hoglund_31727947_2	666292
EOT1_AholaOlli_27989323_1	632712
EOT1_Hoglund_31727947_1	665263
ESEL_Folkersen_33067605_1	671378
ESM1_Folkersen_33067605_1	661843
FABP4_Folkersen_33067605_1	671386
FAS_Folkersen_33067605_1	671386
FGF19_Hoglund_31727947_1	665263
FGF21_Hoglund_31727947_1	665078
FGF23_Folkersen_33067605_1	671350
FGF23_Hoglund_31727947_1	665077
FGF23_Hoglund_31727947_2	666292
FGF5_Hoglund_31727947_1	661731
FGFB_AholaOlli_27989323_1	632684
FLT3L_Hoglund_31727947_1	665263
FLT3L_Hoglund_31727947_2	666335
FST_Folkersen_33067605_1	671334
GAL_Folkersen_33067605_1	654203
GAL3_Folkersen_33067605_1	671383
GCSF_AholaOlli_27989323_1	632749
GDF15_Folkersen_33067605_1	671384
GDNF_Hoglund_31727947_1	659414
GH_Folkersen_33067605_1	671350
GROA_AholaOlli_27989323_1	627475
GROA_Folkersen_33067605_1	671333
GROA_Hoglund_31727947_1	665078
GROA_Hoglund_31727947_2	666292
HBEGF_Folkersen_33067605_1	671356
HGF_AholaOlli_27989323_1	632913
HGF_Folkersen_33067605_1	670672
HGF_Hoglund_31727947_1	665009
HGF_Hoglund_31727947_2	666287
HSP27_Folkersen_33067605_1	671334
IBD_DeLange_28067908_1	636472
IFNG_AholaOlli_27989323_1	632592
IFNG_Hoglund_31727947_1	657134
IL10_AholaOlli_27989323_1	632822
IL10_Hoglund_31727947_1	665256
IL10RA_Hoglund_31727947_1	650719
IL10RB_Hoglund_31727947_1	665263
IL12_AholaOlli_27989323_1	632896
IL12B_Hoglund_31727947_1	665263
IL13_AholaOlli_27989323_1	627789
IL13_Hoglund_31727947_1	623970
IL15RA_Hoglund_31727947_1	663329
IL16_AholaOlli_27989323_1	628100
IL16_Folkersen_33067605_1	671350
IL17_AholaOlli_27989323_1	632550
IL17_Hoglund_31727947_1	659193
IL17C_Hoglund_31727947_1	662148
IL18_AholaOlli_27989323_1	632907
IL18_Folkersen_33067605_1	671350
IL18_Hoglund_31727947_1	665078
IL18_Hoglund_31727947_2	666292
IL18R1_Hoglund_31727947_1	665263
IL1A_Hoglund_31727947_1	623554
IL1B_AholaOlli_27989323_1	637042
IL1RA_AholaOlli_27989323_1	628510
IL1RA_Folkersen_33067605_1	671326
IL2_AholaOlli_27989323_1	627467
