Trait	nSNP
4EBP1_Hoglund_31727947_1	633882
ADA_Hoglund_31727947_1	633882
ADM_Folkersen_33067605_1	639503
AGRP_Folkersen_33067605_1	639498
AST_Demenais_29273806_1	203233
AXIN1_Hoglund_31727947_1	633708
bNGF_AholaOlli_27989323_1	599822
bNGF_Folkersen_33067605_1	637091
bNGF_Hoglund_31727947_1	633228
CA125_Folkersen_33067605_1	630074
CASP8_Folkersen_33067605_1	638839
CASP8_Hoglund_31727947_1	633882
CASP8_Hoglund_31727947_2	634267
CCL19_Hoglund_31727947_1	633882
CCL20_Folkersen_33067605_1	638857
CCL20_Hoglund_31727947_1	633882
CCL20_Hoglund_31727947_2	634867
CCL23_Hoglund_31727947_1	633882
CCL25_Hoglund_31727947_1	633882
CCL28_Hoglund_31727947_1	631289
CD_DeLange_28067908_1	605748
CD244_Hoglund_31727947_1	633882
CD40_Folkersen_33067605_1	638849
CD40_Hoglund_31727947_1	633882
CD40_Hoglund_31727947_2	634867
CD40L_Folkersen_33067605_1	639503
CD5_Hoglund_31727947_1	633882
CD6_Hoglund_31727947_1	633882
CDCP1_Hoglund_31727947_1	633882
CEL_Dubois_20190752_1	50808
CHI3L1_Folkersen_33067605_1	639524
CST5_Hoglund_31727947_1	631753
CSTB_Folkersen_33067605_1	639500
CTACK_AholaOlli_27989323_1	600396
CTSD_Folkersen_33067605_1	639470
CTSL1_Folkersen_33067605_1	639498
CX3CL1_Folkersen_33067605_1	638857
CX3CL1_Hoglund_31727947_1	633882
CX3CL1_Hoglund_31727947_2	634867
CXCL5_Hoglund_31727947_1	633882
CXCL5_Hoglund_31727947_2	634893
CXCL6_Folkersen_33067605_1	638857
CXCL6_Hoglund_31727947_1	633882
CXCL6_Hoglund_31727947_2	634867
DKK1_Folkersen_33067605_1	639498
DNER_Hoglund_31727947_1	633882
ECP_Folkersen_33067605_1	623664
EGF_Folkersen_33067605_1	630668
EGPA_Lyons_31719529_1	609104
EGPAANCAn_Lyons_31719529_1	609104
