Trait	nSNP
11071_1_IL5_IL_5	673318
11593_21_CXCL9_MIG	673318
13748_4_CCL8_MCP_2	673318
14061_48_TNFSF11_sRANKL	673318
14063_17_OSM_OSM	673318
14093_10_FLT3LG_Flt3_ligand	673318
14127_240_IFNB1_IFN_b	673318
14128_121_IFNA10_IFN10	673318
14129_1_IFNA7_IFNA7	673318
15346_31_IFNG_IFN_g	673318
15404_3_IFNA21_IFN21	673318
15405_23_IFNA4_IFNA4	673318
15617_8_XCL2_lymphotactin_beta	673318
15698_6_TXLNA_TXLNA	673318
16765_52_PPBP_PBP	673318
17165_1_PPBP_BTG	673318
18289_16_CCL15_MIP_5	673318
18389_11_IFNA1_IFNA1	673318
19568_17_IL15_IL_15	673318
2192_63_CCL27_CTACK	673318
2333_72_TGFB1_TGF_b1	673318
2468_62_CCL20_MIP_3a	673318
2516_57_CCL21_6Ckine	673318
2578_67_CCL2_MCP_1	673318
2599_51_TNFSF9_4_1BB_ligand	673318
2693_20_OSM_OSM	673318
2697_7_PF4_PF_4	673318
2705_5_CCL25_TECK	673318
2708_54_TNFSF18_TNFSF18	673318
2770_51_CCL1_I_309	673318
2773_50_IL10_IL_10	673318
2774_10_IL16_IL_16	673318
2790_54_PPBP_NAP_2	673318
2827_23_CX3CL1_Fractalkine_CX3CL_1	673318
2839_2_TNFSF4_OX40_Ligand	673318
2900_53_CCL14_HCC_1	673318
2906_55_IL4_IL_4	673318
2913_1_CCL23_MPIF_1	673318
2979_8_CXCL5_ENA_78	673318
2985_35_CXCL1_Gro_a	673318
3028_36_CCL23_Ck_b_8_1	673318
3037_62_IL1B_IL_1b	673318
3038_9_CXCL11_I_TAC	673318
3040_59_CCL3_MIP_1a	673318
3044_3_CCL18_PARC	673318
3052_8_FASLG_Fas_ligand__soluble	673318
3059_50_TNFSF13B_BAFF	673318
3070_1_IL2_IL_2	673318
3072_4_IL13_IL_13	673318
3421_54_TNFSF8_CD30_Ligand	673318
3447_64_CXCL8_IL_8	673318
3487_32_CXCL13_BLC	673318
3495_15_CXCL6_GCP_2	673318
3497_13_IFNA2_IFN_aA	673318
3508_78_CCL22_MDC	673318
3516_60_CXCL12_SDF_1	673318
3519_3_CCL17_TARC	673318
3520_58_TGFB3_TGF_b3	673318
3534_14_CD40LG_CD40_ligand__soluble	673318
3738_54_CSF1_CSF_1	673318
4128_27_CCL24_Eotaxin_2	673318
4138_25_IL20_IL_20	673318
4140_3_IL7_IL_7	673318
4141_79_CXCL10_IP_10	673318
4143_74_XCL1_Lymphotactin	673318
4144_13_CCL13_MCP_4	673318
4156_74_TGFB2_TGF_b2	673318
4407_10_MST1_MSP	673318
4493_92_IL11_IL_11	673318
4544_4_PPBP_CTAP_III	673318
4673_13_IL6_IL_6	673318
4697_59_CSF2_GM_CSF	673318
4703_87_LTA_TNF_b	673318
4717_55_IL3_IL_3	673318
4840_73_CSF3_G_CSF	673318
4851_25_IL1A_IL_1a	673318
4886_3_CCL7_MCP_3	673318
4913_78_CCL16_HCC_4	673318
4922_13_CCL19_MIP_3b	673318
5301_7_CCL11_Eotaxin	673318
5353_89_IL1RN_IL_1Ra	673318
5355_69_TNFSF14_LIGHT	673318
5480_49_CCL5_RANTES	673318
5661_15_IL18_IL_18	673318
5714_88_IFNA6_IFNA6	673318
5730_60_CXCL14_BRAK	673318
5807_77_CD70_CD70	673318
5813_58_EPO_Epo	673318
5834_18_IL9_IL_9	673318
5936_53_TNF_TNF_a	673318
5939_42_TNFSF12_TWEAK	673318
5947_90_THPO_Tpo	673318
5988_49_TNFSF14_LIGHT	673318
6210_100_IFNA5_IFNA5	673318
6214_84_IFNA8_IFNA8	673318
6421_52_IFNA16_IFN16	673318
7180_114_IFNA14_IFN14	673318
7790_21_LIF_LIF	673318
8059_1_THPO_Tpo	673318
8833_20_TNFSF10_TRAIL	673318
9168_31_CCL26_Eotaxin_3	673318
9170_24_IL17A_IL_17	673318
9188_119_CXCL9_MIG	673318
9377_25_KITLG_SCF	673318
