Trait	nSNP	overall_p	mscomp	ratio_coveredSNP
4EBP1_Hoglund_31727947_1	5413	0.113336009984636	PC8 (3e-03)	0.980793622032977
ADA_Hoglund_31727947_1	5413	0.367847457489995	PC6 (3e-03)	0.980793622032977
ADM_Folkersen_33067605_1	5491	0.05935870748943	PC6 (3e-02)	0.994926617140786
AGRP_Folkersen_33067605_1	5491	2.51060504598509e-05	PC6 (1e-05)	0.994926617140786
AST_Demenais_29273806_1	1619	0.041255846162127	PC10 (3e-03)	0.293350244609531
AXIN1_Hoglund_31727947_1	5406	0.468791166420628	PC34 (7e-03)	0.979525276318174
bNGF_AholaOlli_27989323_1	4964	0.313915531323833	PC36 (5e-03)	0.899438304040587
bNGF_Folkersen_33067605_1	5444	0.521587300491424	PC19 (2e-02)	0.986410581627106
bNGF_Hoglund_31727947_1	5406	0.152777993778842	PC3 (1e-02)	0.979525276318174
CA125_Folkersen_33067605_1	5341	0.0255384298555139	PC28 (7e-04)	0.967747780394999
CASP8_Folkersen_33067605_1	5482	0.127272213189273	PC23 (8e-03)	0.993295886936039
CASP8_Hoglund_31727947_1	5413	0.498505850363952	PC2 (4e-02)	0.980793622032977
CASP8_Hoglund_31727947_2	5434	0.313834121605354	PC24 (1e-02)	0.984598659177387
CCL19_Hoglund_31727947_1	5413	0.677872071169036	PC26 (6e-03)	0.980793622032977
CCL20_Folkersen_33067605_1	5483	0.0013735860907082	PC6 (2e-04)	0.993477079181011
CCL20_Hoglund_31727947_1	5413	0.229828767462425	PC32 (7e-03)	0.980793622032977
CCL20_Hoglund_31727947_2	5439	0.105922786745513	PC6 (1e-04)	0.985504620402247
CCL23_Hoglund_31727947_1	5413	0.0103469858996229	PC6 (1e-02)	0.980793622032977
CCL25_Hoglund_31727947_1	5413	3.64639216094926e-07	PC6 (5e-04)	0.980793622032977
CCL28_Hoglund_31727947_1	5370	0.125563004355832	PC27 (2e-03)	0.973002355499185
CD_DeLange_28067908_1	5184	1.77120446105876e-18	PC35 (2e-05)	0.939300597934408
CD244_Hoglund_31727947_1	5413	0.296147611572247	PC11 (4e-02)	0.980793622032977
CD40_Folkersen_33067605_1	5483	0.0294013524734941	PC35 (9e-04)	0.993477079181011
CD40_Hoglund_31727947_1	5413	0.354741055507792	PC36 (2e-02)	0.980793622032977
CD40_Hoglund_31727947_2	5439	0.24124501183415	PC13 (8e-03)	0.985504620402247
CD40L_Folkersen_33067605_1	5491	1.08425834984242e-05	PC16 (3e-04)	0.994926617140786
CD5_Hoglund_31727947_1	5413	0.788183516560046	PC9 (2e-02)	0.980793622032977
CD6_Hoglund_31727947_1	5413	0.839359352492675	PC21 (5e-02)	0.980793622032977
CDCP1_Hoglund_31727947_1	5413	0.385222934236194	PC2 (2e-02)	0.980793622032977
CEL_Dubois_20190752_1	408	5.62321987250586e-07	PC1 (2e-12)	0.0739264359485414
CHI3L1_Folkersen_33067605_1	5491	0.0716914507515971	PC30 (6e-03)	0.994926617140786
CST5_Hoglund_31727947_1	5380	0.685974666326979	PC26 (9e-02)	0.974814277948904
CSTB_Folkersen_33067605_1	5489	0.0421123904329018	PC35 (1e-02)	0.994564232650843
CTACK_AholaOlli_27989323_1	4962	0.150358925681675	PC6 (2e-03)	0.899075919550643
CTSD_Folkersen_33067605_1	5490	0.00243392699943131	PC1 (1e-03)	0.994745424895814
CTSL1_Folkersen_33067605_1	5491	0.0088161402792835	PC16 (2e-03)	0.994926617140786
CX3CL1_Folkersen_33067605_1	5483	0.0518462830765475	PC26 (1e-02)	0.993477079181011
CX3CL1_Hoglund_31727947_1	5413	0.00590972951787858	PC5 (1e-02)	0.980793622032977
CX3CL1_Hoglund_31727947_2	5439	0.292875177872701	PC37 (8e-02)	0.985504620402247
CXCL5_Hoglund_31727947_1	5413	1.46090995377666e-05	PC27 (3e-03)	0.980793622032977
CXCL5_Hoglund_31727947_2	5439	3.89375151600576e-05	PC27 (9e-03)	0.985504620402247
CXCL6_Folkersen_33067605_1	5483	1.90235390269686e-244	PC20 (6e-18)	0.993477079181011
CXCL6_Hoglund_31727947_1	5413	2.72167935158038e-18	PC10 (5e-03)	0.980793622032977
CXCL6_Hoglund_31727947_2	5439	9.56470133793857e-22	PC7 (2e-03)	0.985504620402247
DKK1_Folkersen_33067605_1	5491	1.13399662329584e-34	PC18 (9e-18)	0.994926617140786
DNER_Hoglund_31727947_1	5413	0.0125424773217427	PC3 (1e-04)	0.980793622032977
ECP_Folkersen_33067605_1	5299	0.804605467089336	PC1 (4e-03)	0.960137706106179
EGF_Folkersen_33067605_1	5351	0.104224098774581	PC17 (5e-02)	0.969559702844718
