Trait	nSNP	overall_p	mscomp	ratio_coveredSNP
20002_1065_Neale_UKBB_1	224	3.5407416463733e-07	PC31 (1e-04)	0.040587062873709
20002_1065_PanUKBB_PanUKBBR1_1	225	2.46181640899843e-09	PC31 (2e-06)	0.0407682551186809
20002_1066_Neale_UKBB_1	224	0.33365339942974	PC14 (1e-01)	0.040587062873709
20002_1066_PanUKBB_PanUKBBR1_1	225	0.821188049725923	PC29 (2e-01)	0.0407682551186809
20002_1067_Neale_UKBB_1	224	0.22122151794045	PC36 (2e-02)	0.040587062873709
20002_1067_PanUKBB_PanUKBBR1_1	225	0.638320310865857	PC36 (2e-01)	0.0407682551186809
20002_1072_Neale_UKBB_1	224	0.213875083849943	PC32 (5e-03)	0.040587062873709
20002_1072_PanUKBB_PanUKBBR1_1	225	0.175045359859871	PC37 (2e-02)	0.0407682551186809
20002_1074_Neale_UKBB_1	224	0.0993926054387178	PC36 (7e-02)	0.040587062873709
20002_1074_PanUKBB_PanUKBBR1_1	225	0.0644726096107495	PC36 (7e-02)	0.0407682551186809
20002_1075_Neale_UKBB_1	224	0.00389586202337921	PC9 (7e-02)	0.040587062873709
20002_1075_PanUKBB_PanUKBBR1_1	225	0.00133407691190912	PC36 (6e-02)	0.0407682551186809
20002_1076_Neale_UKBB_1	224	0.880127381708696	PC36 (2e-01)	0.040587062873709
20002_1076_PanUKBB_PanUKBBR1_1	225	0.944724394789972	PC35 (4e-01)	0.0407682551186809
20002_1077_Neale_UKBB_1	224	0.946769764352524	PC23 (1e-01)	0.040587062873709
20002_1077_PanUKBB_PanUKBBR1_1	225	0.904538065053662	PC38 (2e-01)	0.0407682551186809
20002_1078_Neale_UKBB_1	224	0.661455798452592	PC36 (1e-02)	0.040587062873709
20002_1078_PanUKBB_PanUKBBR1_1	225	0.607511011691623	PC34 (6e-02)	0.0407682551186809
20002_1079_Neale_UKBB_1	224	0.204935796101915	PC27 (2e-01)	0.040587062873709
20002_1079_PanUKBB_PanUKBBR1_1	225	0.251797264609942	PC32 (3e-01)	0.0407682551186809
20002_1080_Neale_UKBB_1	224	0.179794731135028	PC38 (2e-01)	0.040587062873709
20002_1080_PanUKBB_PanUKBBR1_1	225	0.244285044472652	PC27 (2e-01)	0.0407682551186809
20002_1081_Neale_UKBB_1	224	0.860692778179303	PC14 (1e-01)	0.040587062873709
20002_1081_PanUKBB_PanUKBBR1_1	225	0.799601475496769	PC40 (3e-02)	0.0407682551186809
20002_1082_Neale_UKBB_1	224	0.152477552814605	PC16 (1e-01)	0.040587062873709
20002_1082_PanUKBB_PanUKBBR1_1	225	0.245861302471907	PC40 (2e-01)	0.0407682551186809
20002_1083_Neale_UKBB_1	224	0.771579970771614	PC2 (9e-02)	0.040587062873709
20002_1083_PanUKBB_PanUKBBR1_1	225	0.82431299907935	PC2 (2e-01)	0.0407682551186809
20002_1086_Neale_UKBB_1	224	0.491962929724045	PC36 (1e-01)	0.040587062873709
20002_1086_PanUKBB_PanUKBBR1_1	225	0.502318292521102	PC32 (5e-02)	0.0407682551186809
20002_1087_Neale_UKBB_1	224	0.0264403063917573	PC21 (3e-06)	0.040587062873709
20002_1087_PanUKBB_PanUKBBR1_1	225	0.00100894474487372	PC21 (4e-06)	0.0407682551186809
20002_1093_Neale_UKBB_1	224	0.14735414130934	PC36 (4e-02)	0.040587062873709
20002_1093_PanUKBB_PanUKBBR1_1	225	0.0936551932397576	PC30 (6e-02)	0.0407682551186809
20002_1094_Neale_UKBB_1	224	9.60732983048089e-08	PC31 (4e-03)	0.040587062873709
20002_1094_PanUKBB_PanUKBBR1_1	225	4.16440496591413e-06	PC31 (8e-03)	0.0407682551186809
20002_1111_Neale_UKBB_1	224	6.65815857374071e-07	PC13 (5e-06)	0.040587062873709
20002_1111_PanUKBB_PanUKBBR1_1	225	4.96800717456024e-09	PC31 (1e-08)	0.0407682551186809
20002_1112_Neale_UKBB_1	224	0.393247379356449	PC21 (4e-02)	0.040587062873709
20002_1112_PanUKBB_PanUKBBR1_1	225	0.520348583657197	PC21 (1e-02)	0.0407682551186809
20002_1113_Neale_UKBB_1	224	0.69825887583159	PC30 (2e-01)	0.040587062873709
20002_1113_PanUKBB_PanUKBBR1_1	225	0.771052916920312	PC13 (1e-01)	0.0407682551186809
20002_1114_Neale_UKBB_1	224	0.94388492838383	PC17 (3e-01)	0.040587062873709
20002_1114_PanUKBB_PanUKBBR1_1	225	0.968645587608434	PC12 (2e-01)	0.0407682551186809
20002_1115_Neale_UKBB_1	224	0.440915067186973	PC39 (4e-02)	0.040587062873709
20002_1115_PanUKBB_PanUKBBR1_1	225	0.53177680596516	PC14 (3e-02)	0.0407682551186809
20002_1117_Neale_UKBB_1	224	0.656847409168832	PC36 (2e-01)	0.040587062873709
20002_1117_PanUKBB_PanUKBBR1_1	225	0.478666734016641	PC36 (8e-02)	0.0407682551186809
20002_1120_Neale_UKBB_1	224	0.555021113103552	PC22 (5e-02)	0.040587062873709
20002_1120_PanUKBB_PanUKBBR1_1	225	0.679008618769895	PC8 (2e-01)	0.0407682551186809
20002_1121_PanUKBB_PanUKBBR1_1	225	0.543542734694613	PC35 (3e-02)	0.0407682551186809
20002_1123_Neale_UKBB_1	224	0.219474828028442	PC23 (3e-02)	0.040587062873709
20002_1123_PanUKBB_PanUKBBR1_1	225	0.184325101658278	PC23 (1e-02)	0.0407682551186809
