Trait	nSNP	overall_p	mscomp	ratio_coveredSNP
13748_4_CCL8_MCP_2	5519	0e+00	PC5 (2e-206)	1
15617_8_XCL2_lymphotactin_beta	5519	5e-142	PC24 (2e-17)	1
18289_16_CCL15_MIP_5	5519	0e+00	PC2 (3e-236)	1
2516_57_CCL21_6Ckine	5519	0e+00	PC9 (1e-176)	1
2697_7_PF4_PF_4	5519	1e-169	PC7 (3e-30)	1
2705_5_CCL25_TECK	5519	0e+00	PC1 (0e+00)	1
2774_10_IL16_IL_16	5519	0e+00	PC8 (0e+00)	1
2827_23_CX3CL1_Fractalkine_CX3CL_1	5519	3e-309	PC11 (2e-37)	1
2900_53_CCL14_HCC_1	5519	0e+00	PC4 (3e-129)	1
2913_1_CCL23_MPIF_1	5519	3e-300	PC4 (3e-40)	1
2979_8_CXCL5_ENA_78	5519	2e-243	PC25 (1e-24)	1
2985_35_CXCL1_Gro_a	5519	0e+00	PC20 (1e-158)	1
3028_36_CCL23_Ck_b_8_1	5519	0e+00	PC2 (6e-97)	1
3038_9_CXCL11_I_TAC	5519	7e-291	PC5 (5e-82)	1
3040_59_CCL3_MIP_1a	5519	0e+00	PC4 (1e-53)	1
3044_3_CCL18_PARC	5519	0e+00	PC4 (6e-246)	1
3059_50_TNFSF13B_BAFF	5519	3e-177	PC24 (9e-50)	1
3421_54_TNFSF8_CD30_Ligand	5519	3e-295	PC11 (2e-48)	1
3447_64_CXCL8_IL_8	5519	1e-194	PC26 (5e-35)	1
3487_32_CXCL13_BLC	5519	6e-141	PC25 (6e-32)	1
3495_15_CXCL6_GCP_2	5519	0e+00	PC7 (2e-108)	1
3508_78_CCL22_MDC	5519	0e+00	PC6 (2e-186)	1
3516_60_CXCL12_SDF_1	5519	8e-250	PC6 (1e-60)	1
3519_3_CCL17_TARC	5519	0e+00	PC2 (0e+00)	1
3534_14_CD40LG_CD40_ligand__soluble	5519	1e-125	PC24 (1e-16)	1
4141_79_CXCL10_IP_10	5519	2e-149	PC7 (2e-21)	1
4407_10_MST1_MSP	5519	0e+00	PC11 (2e-281)	1
4886_3_CCL7_MCP_3	5519	0e+00	PC5 (5e-110)	1
4913_78_CCL16_HCC_4	5519	0e+00	PC2 (4e-104)	1
5301_7_CCL11_Eotaxin	5519	0e+00	PC17 (3e-83)	1
5353_89_IL1RN_IL_1Ra	5519	7e-224	PC15 (2e-79)	1
5355_69_TNFSF14_LIGHT	5519	3e-179	PC25 (7e-37)	1
5480_49_CCL5_RANTES	5519	5e-208	PC7 (6e-24)	1
5813_58_EPO_Epo	5519	8e-226	PC19 (2e-69)	1
5834_18_IL9_IL_9	5519	5e-162	PC24 (8e-46)	1
5939_42_TNFSF12_TWEAK	5519	0e+00	PC12 (1e-106)	1
5947_90_THPO_Tpo	5519	2e-138	PC27 (1e-28)	1
5988_49_TNFSF14_LIGHT	5519	2e-233	PC11 (3e-22)	1
8059_1_THPO_Tpo	5519	3e-181	PC24 (1e-26)	1
9188_119_CXCL9_MIG	5519	4e-125	PC7 (4e-14)	1
